local_hour,region,NO2,OZONE,PM2.5
2024-12-02 16:00:00,queens,,17.0,36.666666666666664
2024-12-02 16:00:00,staten_island,12.0,,21.333333333333332
2024-12-02 17:00:00,bronx,,14.5,30.333333333333332
2024-12-02 17:00:00,brooklyn,,,35.0
2024-12-02 17:00:00,manhattan,20.0,14.5,30.2
2024-12-02 17:00:00,queens,,18.0,36.333333333333336
2024-12-02 17:00:00,staten_island,13.0,,18.333333333333332
2024-12-02 18:00:00,bronx,,14.0,31.0
2024-12-02 18:00:00,brooklyn,,,34.666666666666664
2024-12-02 18:00:00,manhattan,24.0,13.0,31.6
2024-12-02 18:00:00,queens,,16.0,36.333333333333336
2024-12-02 18:00:00,staten_island,18.0,,22.0
2024-12-02 19:00:00,bronx,,13.0,30.333333333333332
2024-12-02 19:00:00,brooklyn,,,38.0
2024-12-02 19:00:00,manhattan,23.0,13.0,33.4
2024-12-02 19:00:00,queens,,15.0,39.0
2024-12-02 19:00:00,staten_island,22.0,,24.666666666666668
2024-12-02 20:00:00,bronx,,13.5,31.0
2024-12-02 20:00:00,brooklyn,,,40.333333333333336
2024-12-02 20:00:00,manhattan,25.0,11.5,32.6
2024-12-02 20:00:00,queens,,14.0,40.333333333333336
2024-12-02 20:00:00,staten_island,24.0,,28.666666666666668
2024-12-02 21:00:00,bronx,,9.5,32.333333333333336
2024-12-02 21:00:00,brooklyn,,,39.0
2024-12-02 21:00:00,manhattan,29.0,9.0,34.6
2024-12-02 21:00:00,queens,,12.0,39.333333333333336
2024-12-02 21:00:00,staten_island,24.0,,29.0
2024-12-02 22:00:00,bronx,,7.5,32.666666666666664
2024-12-02 22:00:00,brooklyn,,,36.666666666666664
2024-12-02 22:00:00,manhattan,27.0,7.5,33.2
2024-12-02 22:00:00,queens,,11.0,36.666666666666664
2024-12-02 22:00:00,staten_island,25.0,,27.333333333333332
2024-12-02 23:00:00,bronx,,7.5,34.666666666666664
2024-12-02 23:00:00,brooklyn,,,32.666666666666664
2024-12-02 23:00:00,manhattan,27.0,7.5,35.4
2024-12-02 23:00:00,queens,,9.0,33.0
2024-12-02 23:00:00,staten_island,19.0,,28.0
2024-12-03 00:00:00,bronx,,8.5,32.666666666666664
2024-12-03 00:00:00,brooklyn,,,30.0
2024-12-03 00:00:00,manhattan,27.0,7.0,33.4
2024-12-03 00:00:00,queens,,9.0,30.333333333333332
2024-12-03 00:00:00,staten_island,15.0,,25.0
2024-12-03 01:00:00,bronx,,6.0,31.666666666666668
2024-12-03 01:00:00,brooklyn,,,31.333333333333332
2024-12-03 01:00:00,manhattan,27.0,5.5,32.8
2024-12-03 01:00:00,queens,,10.0,30.0
2024-12-03 01:00:00,staten_island,12.0,,29.0
2024-12-03 02:00:00,bronx,,4.5,33.333333333333336
2024-12-03 02:00:00,brooklyn,,,35.0
2024-12-03 02:00:00,manhattan,29.0,5.0,34.4
2024-12-03 02:00:00,queens,,6.0,32.666666666666664
2024-12-03 02:00:00,staten_island,12.0,,34.666666666666664
2024-12-03 03:00:00,bronx,,5.0,33.666666666666664
2024-12-03 03:00:00,brooklyn,,,36.333333333333336
2024-12-03 03:00:00,manhattan,27.0,6.0,35.0
2024-12-03 03:00:00,queens,,5.0,34.0
2024-12-03 03:00:00,staten_island,12.0,,33.666666666666664
2024-12-03 04:00:00,bronx,,6.0,34.0
2024-12-03 04:00:00,brooklyn,,,36.333333333333336
2024-12-03 04:00:00,manhattan,25.0,5.5,34.2
2024-12-03 04:00:00,queens,,7.0,33.666666666666664
2024-12-03 04:00:00,staten_island,14.0,,35.333333333333336
2024-12-03 05:00:00,bronx,,6.0,34.666666666666664
2024-12-03 05:00:00,brooklyn,,,37.666666666666664
2024-12-03 05:00:00,manhattan,25.0,5.0,34.2
2024-12-03 05:00:00,queens,,7.0,35.333333333333336
2024-12-03 05:00:00,staten_island,17.0,,35.333333333333336
2024-12-03 06:00:00,bronx,,6.0,36.0
2024-12-03 06:00:00,brooklyn,,,38.666666666666664
2024-12-03 06:00:00,manhattan,26.0,6.0,36.4
2024-12-03 06:00:00,queens,,6.0,36.333333333333336
2024-12-03 06:00:00,staten_island,18.0,,34.0
2024-12-03 07:00:00,bronx,,6.0,37.0
2024-12-03 07:00:00,brooklyn,,,39.666666666666664
2024-12-03 07:00:00,manhattan,26.0,6.5,37.2
2024-12-03 07:00:00,queens,,7.0,37.333333333333336
2024-12-03 07:00:00,staten_island,18.0,,34.0
2024-12-03 08:00:00,bronx,,6.5,38.666666666666664
2024-12-03 08:00:00,brooklyn,,,42.0
2024-12-03 08:00:00,manhattan,23.0,6.5,37.4
2024-12-03 08:00:00,queens,,8.0,40.0
2024-12-03 08:00:00,staten_island,15.0,,32.333333333333336
2024-12-03 09:00:00,bronx,,9.5,39.666666666666664
2024-12-03 09:00:00,brooklyn,,,44.333333333333336
2024-12-03 09:00:00,manhattan,19.0,9.0,38.4
2024-12-03 09:00:00,queens,,10.0,43.0
2024-12-03 09:00:00,staten_island,11.0,,28.666666666666668
2024-12-03 10:00:00,bronx,,12.5,40.0
2024-12-03 10:00:00,brooklyn,,,43.666666666666664
2024-12-03 10:00:00,manhattan,16.0,12.5,37.8
2024-12-03 10:00:00,queens,,11.0,42.666666666666664
2024-12-03 10:00:00,staten_island,8.0,,22.333333333333332
2024-12-03 11:00:00,bronx,,14.0,37.666666666666664
2024-12-03 11:00:00,brooklyn,,,39.333333333333336
2024-12-03 11:00:00,manhattan,13.0,14.0,35.4
2024-12-03 11:00:00,queens,,15.0,39.0
2024-12-03 11:00:00,staten_island,9.0,,24.0
2024-12-03 12:00:00,bronx,,18.0,32.0
2024-12-03 12:00:00,brooklyn,,,35.0
2024-12-03 12:00:00,manhattan,13.0,17.5,31.0
2024-12-03 12:00:00,queens,,18.0,35.666666666666664
2024-12-03 12:00:00,staten_island,9.0,,22.666666666666668
2024-12-03 13:00:00,bronx,,18.5,30.333333333333332
2024-12-03 13:00:00,brooklyn,,,31.333333333333332
2024-12-03 13:00:00,manhattan,16.0,18.5,28.8
2024-12-03 13:00:00,queens,,18.0,33.0
2024-12-03 13:00:00,staten_island,8.0,,18.333333333333332
2024-12-03 14:00:00,bronx,,19.5,26.666666666666668
2024-12-03 14:00:00,brooklyn,,,30.0
2024-12-03 14:00:00,manhattan,15.0,19.0,26.0
2024-12-03 14:00:00,queens,,19.0,32.0
2024-12-03 14:00:00,staten_island,8.0,,14.666666666666666
2024-12-03 15:00:00,bronx,,19.5,24.0
2024-12-03 15:00:00,brooklyn,,,27.5
2024-12-03 15:00:00,manhattan,14.0,19.0,24.4
2024-12-03 15:00:00,queens,,20.0,28.5
2024-12-03 15:00:00,staten_island,10.0,,16.666666666666668
2024-12-03 16:00:00,bronx,,19.5,24.0
2024-12-03 16:00:00,brooklyn,,,-317.6666666666667
2024-12-03 16:00:00,manhattan,18.0,20.0,23.8
2024-12-03 16:00:00,queens,,19.0,-316.6666666666667
2024-12-03 16:00:00,staten_island,13.0,,14.0
2024-12-03 17:00:00,bronx,,19.0,24.666666666666668
2024-12-03 17:00:00,brooklyn,,,22.333333333333332
2024-12-03 17:00:00,manhattan,14.0,20.0,23.8
2024-12-03 17:00:00,queens,,20.0,22.666666666666668
2024-12-03 17:00:00,staten_island,12.0,,17.0
2024-12-03 18:00:00,bronx,,20.0,24.0
2024-12-03 18:00:00,brooklyn,,,24.0
2024-12-03 18:00:00,manhattan,13.0,19.5,24.6
2024-12-03 18:00:00,queens,,19.0,24.333333333333332
2024-12-03 18:00:00,staten_island,11.0,,17.0
2024-12-03 19:00:00,bronx,,25.0,20.666666666666668
2024-12-03 19:00:00,brooklyn,,,22.666666666666668
2024-12-03 19:00:00,manhattan,13.0,23.5,21.4
2024-12-03 19:00:00,queens,,24.0,25.0
2024-12-03 19:00:00,staten_island,12.0,,14.5
2024-12-03 20:00:00,bronx,,26.5,18.0
2024-12-03 20:00:00,brooklyn,,,22.333333333333332
2024-12-03 20:00:00,manhattan,14.0,26.5,17.8
2024-12-03 20:00:00,queens,,27.0,-315.3333333333333
2024-12-03 20:00:00,staten_island,17.0,,-325.3333333333333
2024-12-03 21:00:00,bronx,,25.0,16.666666666666668
2024-12-03 21:00:00,brooklyn,,,20.333333333333332
2024-12-03 21:00:00,manhattan,23.0,24.0,17.2
2024-12-03 21:00:00,queens,,27.0,20.0
2024-12-03 21:00:00,staten_island,28.0,,13.0
2024-12-03 22:00:00,bronx,,24.5,16.333333333333332
2024-12-03 22:00:00,brooklyn,,,16.333333333333332
2024-12-03 22:00:00,manhattan,20.0,23.5,17.2
2024-12-03 22:00:00,queens,,23.0,16.333333333333332
2024-12-03 22:00:00,staten_island,27.0,,14.333333333333334
2024-12-03 23:00:00,bronx,,25.5,16.333333333333332
2024-12-03 23:00:00,brooklyn,,,15.0
2024-12-03 23:00:00,manhattan,19.0,24.5,16.8
2024-12-03 23:00:00,queens,,26.0,15.0
2024-12-03 23:00:00,staten_island,29.0,,14.333333333333334
2024-12-04 00:00:00,bronx,,23.5,16.333333333333332
2024-12-04 00:00:00,brooklyn,,,14.666666666666666
